Propofol,4800
Propofol,9400
Propofol,9500
Rocuronium,9600
Phenylephrine,14100
Lidocaine,18300
Odanestron,22300
Phenylephrine,27000
Propofol,27100
Propofol,27200
Propofol,27600
Propofol,27800
Propofol,27900
Phenylephrine,28000
Propofol,31300
Phenylephrine,32500
Phenylephrine,32900
Rocuronium,36700
Rocuronium,40900
Phenylephrine,44700
Phenylephrine,44800
Phenylephrine,45000
Rocuronium,45100
Phenylephrine,45200
Rocuronium,45300
Phenylephrine,45500
Phenylephrine,49500
Phenylephrine,53300
Phenylephrine,53400
Phenylephrine,54100
Lidocaine,54200
Lidocaine,54300
Lidocaine,54400
Phenylephrine,54600
Lidocaine,56700
Phenylephrine,56800
Phenylephrine,57400
Phenylephrine,57500
Phenylephrine,57600
Phenylephrine,57800
Phenylephrine,58800
