Propofol,2300
Propofol,2500
Propofol,3100
Propofol,3200
Propofol,4300
Rocuronium,8000
Rocuronium,8400
Rocuronium,8500
Phenylephrine,12900
Lidocaine,18600
Lidocaine,19800
Lidocaine,20100
Lidocaine,20600
Lidocaine,21200
Propofol,24600
Lidocaine,25100
Lidocaine,25500
Lidocaine,27500
Lidocaine,28100
Propofol,28700
Propofol,28800
Propofol,28900
Lidocaine,29300
Lidocaine,29500
Propofol,31200
Phenylephrine,31800
Propofol,32000
Rocuronium,32100
Phenylephrine,32200
Lidocaine,32300
Lidocaine,32500
Lidocaine,32700
Lidocaine,32800
Lidocaine,34000
Lidocaine,35400
Propofol,35700
Propofol,35800
Rocuronium,36400
Lidocaine,37400
Lidocaine,37700
Lidocaine,39200
Lidocaine,39500
Phenylephrine,40500
Lidocaine,40600
Lidocaine,41000
Lidocaine,41300
Lidocaine,41500
Lidocaine,41600
Lidocaine,41700
Lidocaine,42100
Lidocaine,42300
Lidocaine,42400
Lidocaine,43300
Phenylephrine,43500
Lidocaine,44500
Lidocaine,44800
Lidocaine,48600
Lidocaine,51500
Lidocaine,52000
Lidocaine,55000
Lidocaine,55100
Lidocaine,55200
Lidocaine,55300
Propofol,55800
Propofol,59500
Propofol,59900
